                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.30667,                0.22189,                0.26821,                0.88046,                0.99968,                      1,                  0.995,                0.98807,                0.99968,                      1,                  0.995,                  0.995,                0.21826,                0.15235,                0.18129,                0.78493,              0.0015248,              0.0015248,              0.0015248
                     27,                0.30939,                0.23456,                0.26912,                0.87883,                0.99974,                      1,                  0.995,                0.99178,                0.99974,                      1,                  0.995,                  0.995,                0.20082,                0.16285,                0.16297,                0.77984,               0.001505,               0.001505,               0.001505
                     28,                0.31415,                0.22548,                0.26765,                0.86876,                0.99973,                      1,                  0.995,                0.99393,                0.99973,                      1,                  0.995,                  0.995,                0.20282,                0.16368,                0.17464,                0.78001,              0.0014852,              0.0014852,              0.0014852
                     29,                0.28186,                0.20506,                0.26436,                0.86718,                0.99973,                      1,                  0.995,                0.99229,                0.99973,                      1,                  0.995,                  0.995,                 0.1943,                0.14458,                0.18479,                0.77643,              0.0014654,              0.0014654,              0.0014654
                     30,                 0.2872,                0.20793,                 0.2489,                0.86737,                0.99974,                      1,                  0.995,                0.99367,                0.99974,                      1,                  0.995,                  0.995,                 0.1931,                0.17025,                0.17097,                0.77487,              0.0014456,              0.0014456,              0.0014456
                     31,                0.27035,                0.20622,                0.24249,                0.85996,                0.99973,                      1,                  0.995,                0.99423,                0.99973,                      1,                  0.995,                  0.995,                0.16716,                0.14842,                0.16242,                0.77063,              0.0014258,              0.0014258,              0.0014258
                     32,                0.26476,                0.20972,                0.24278,                0.86462,                0.99973,                      1,                  0.995,                0.99415,                0.99973,                      1,                  0.995,                  0.995,                0.17492,                0.15349,                0.16331,                0.77315,               0.001406,               0.001406,               0.001406
                     33,                0.28122,                0.19802,                 0.2463,                 0.8692,                0.99035,                      1,                  0.995,                0.99104,                      1,                0.99657,                  0.995,                0.99449,                0.20312,                0.15642,                 0.1807,                0.77734,              0.0013862,              0.0013862,              0.0013862
                     34,                0.29473,                0.21248,                0.26365,                0.87491,                0.99939,                      1,                  0.995,                0.98999,                0.99939,                      1,                  0.995,                  0.995,                0.18636,                0.15475,                 0.1716,                0.77443,              0.0013664,              0.0013664,              0.0013664
                     35,                0.27582,                0.20643,                0.26127,                0.86439,                0.99945,                      1,                  0.995,                0.98976,                0.99945,                      1,                  0.995,                  0.995,                0.19217,                0.15731,                0.17857,                0.77772,              0.0013466,              0.0013466,              0.0013466
                     36,                0.26525,                0.18999,                0.24197,                0.86001,                0.99973,                      1,                  0.995,                0.99428,                0.99973,                      1,                  0.995,                  0.995,                0.18361,                0.15689,                0.17289,                 0.7766,              0.0013268,              0.0013268,              0.0013268
                     37,                0.25605,                  0.201,                0.23311,                0.86031,                0.99973,                      1,                  0.995,                0.99315,                0.99973,                      1,                  0.995,                0.99456,                0.17511,                0.15527,                0.15202,                 0.7721,               0.001307,               0.001307,               0.001307
                     38,                0.25515,                0.19218,                0.22398,                0.86227,                0.99972,                      1,                  0.995,                0.99338,                0.99972,                      1,                  0.995,                0.99476,                0.18175,                0.15141,                0.15606,                0.77264,              0.0012872,              0.0012872,              0.0012872
                     39,                0.26037,                0.20029,                 0.2339,                0.85893,                0.99922,                      1,                  0.995,                0.99432,                0.99922,                      1,                  0.995,                0.99487,                0.16889,                0.15447,                0.16023,                0.77316,              0.0012674,              0.0012674,              0.0012674
                     40,                0.25877,                0.21508,                0.22717,                0.86215,                0.99974,                      1,                  0.995,                0.99388,                0.99974,                      1,                  0.995,                  0.995,                0.17137,                0.15503,                0.14956,                0.76939,              0.0012476,              0.0012476,              0.0012476
                     41,                0.25335,                0.20567,                0.21745,                 0.8557,                0.99946,                      1,                  0.995,                0.99453,                0.99946,                      1,                  0.995,                  0.995,                0.17678,                0.14978,                0.14954,                0.77302,              0.0012278,              0.0012278,              0.0012278
                     42,                0.25071,                0.20588,                0.22212,                0.85656,                0.99971,                      1,                  0.995,                 0.9944,                0.99971,                      1,                  0.995,                  0.995,                0.15744,                0.14965,                0.14405,                0.76927,               0.001208,               0.001208,               0.001208
                     43,                0.24149,                 0.1904,                0.21619,                0.85435,                0.99961,                      1,                  0.995,                0.99461,                0.99961,                      1,                  0.995,                  0.995,                0.16608,                0.14392,                 0.1508,                 0.7691,              0.0011882,              0.0011882,              0.0011882
